,tweet_id,text,link,created_at,timestamp_ms,user_id,user_name,user_screen_name,user_location,geo,coordinates,place_full_name,place_country,retweeted_status_id,in_reply_to_status_id,sarcasm_value,processed_tweets,polarity_scores,compounded,neutral,positive,negative,candidate
1,1.31708e+18,"@CNN Apparently, in the case of the NYP story, Giuliani's source 'feed"" was Hunter Biden. CNN is still not talking about it.",https://twitter.com/johnnytate48/status/1317079899329449985,16/10/2020 12:28,1602850000000.0,2237479094.0,Johnny Tate,johnnytate48,"Charleston, SC",,,,,,1.31703e+18,-42,Apparently case NYP story Giulianis source feed Hunter Biden CNN still talking,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Biden
2,1.31708e+18,"RT @Rschooley: Wait, are they revealing a previously undisclosed detail from the last debate here?",https://twitter.com/Getoverhere1980/status/1317079899295961089,16/10/2020 12:28,1602850000000.0,2958565342.0,Antifascist.,Getoverhere1980,,,,,,1.31695e+18,,16,RT Wait revealing previously undisclosed detail last debate,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Biden
3,1.31708e+18,RT @thebradfordfile: The media has spent more time investigating a woman for nodding than Biden for selling out America.,https://twitter.com/Raymond10449530/status/1317079899585318912,16/10/2020 12:28,1602850000000.0,9.69538e+17,Raymond Michael Roberts,Raymond10449530,Erie Michigan ,,,,,1.31695e+18,,-18,RT The media spent time investigating woman nodding Biden selling America,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Biden
4,1.31708e+18,bernie sanders is such a gem.,https://twitter.com/____theodoro/status/1317079899484672001,16/10/2020 12:28,1602850000000.0,42241643.0,theo.,____theodoro,United States,,,,,,,-24,bernie sanders gem,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Biden
5,1.31708e+18,How did that non-stop supercilious look ever appeal to anyone?,https://twitter.com/cheapoldbstd/status/1317079899887329281,16/10/2020 12:28,1602850000000.0,7.91295e+17,Mostly Peaceful,cheapoldbstd,"Arizona, USA",,,,,,,-40,How nonstop supercilious look ever appeal anyone,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Biden
6,1.31708e+18,"RT @dbongino: WHAT?! You have to watch this video to truly grasp how out of touch this guy is

https://t.co/zQoaCgUPwO",https://twitter.com/flhrs98/status/1317079899908173826,16/10/2020 12:28,1602850000000.0,4197645318.0,MAGA,flhrs98,"Sidney, MT",,,,,1.31692e+18,,-10,RT WHAT You watch video truly grasp touch guy ishttpstcoz Qoa CgU PwO,"{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.4404}",0.4404,0.805,0.195,0.0,Biden
9,1.31708e+18,https://t.co/D7xVrpqb6Q,https://twitter.com/imsuzyq2u/status/1317079899899895810,16/10/2020 12:28,1602850000000.0,8.89651e+17,susan baker nicholson,imsuzyq2u,"Columbia, SC",,,,,,,-11,httpstcoD7x Vrpqb6Q,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Biden
11,1.31708e+18,RT @charliekirk11: How was Joe Biden not asked a SINGLE QUESTION tonight about the New York Post story &amp; Hunter Biden?,https://twitter.com/bobbyg330/status/1317079900331921408,16/10/2020 12:28,1602850000000.0,191902425.0,Bob Gibson,bobbyg330,,,,,,1.31693e+18,,-83,RT How Joe Biden asked SINGLE QUESTION tonight New York Post story amp Hunter Biden,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Biden
12,1.31708e+18,#TheFive,https://twitter.com/maga4peace/status/1317079902919720961,16/10/2020 12:28,1602850000000.0,27867336.0,Peace,maga4peace,,,,,,,,-17,The Five,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Biden
13,1.31708e+18,"RT @Rifleman4WVU: Man who discovered Hunter Biden emails speaks out, says he fears for his life now - TheBlaze https://t.co/o9JFo0847h",https://twitter.com/HedgeCarolyn/status/1317079903016202242,16/10/2020 12:28,1602850000000.0,3179969915.0,catbird 51,HedgeCarolyn,West Virginia,,,,,1.31708e+18,,-13,RT Man discovered Hunter Biden emails speaks says fears life The Blaze httpstcoo9J Fo0847h,"{'neg': 0.177, 'neu': 0.823, 'pos': 0.0, 'compound': -0.4215}",-0.4215,0.823,0.0,0.177,Biden
14,1.31708e+18,Boring would be delightful right now.,https://twitter.com/Doctor_Vic/status/1317079902957588481,16/10/2020 12:28,1602850000000.0,2652029262.0,Victor Schwartz,Doctor_Vic,,,,,,,,3,Boring would delightful right,"{'neg': 0.284, 'neu': 0.247, 'pos': 0.469, 'compound': 0.3612}",0.3612,0.247,0.469,0.284,Biden
16,1.31708e+18,RT @jasoninthehouse: Agreed,https://twitter.com/GiarmoNancy/status/1317079903389601792,16/10/2020 12:28,1602850000000.0,1393654903.0,nancy giarmo,GiarmoNancy,Michigan,,,,,1.31646e+18,,-26,RT Agreed,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.2732}",0.2732,0.323,0.677,0.0,Biden
18,1.31708e+18,"RT @RealOmarNavarro: Why did the wife of the mayor of Moscow pay Hunter Biden $3.5 MILLION?

#JoeBidenUkraineScandal",https://twitter.com/DickMoorman/status/1317079903691591681,16/10/2020 12:28,1602850000000.0,2331963354.0,Dick Moorman,DickMoorman,,,,,,1.31681e+18,,-9,RT Why wife mayor Moscow pay Hunter Biden 35 MILLION Joe Biden Ukraine Scandal,"{'neg': 0.264, 'neu': 0.736, 'pos': 0.0, 'compound': -0.5106}",-0.5106,0.736,0.0,0.264,Biden
21,1.31708e+18,RT @drscott_atlanta: And so does #ChristpherWray,https://twitter.com/Skoorbekim/status/1317079903930638336,16/10/2020 12:28,1602850000000.0,41949148.0,Mr. Brooks,Skoorbekim,,,,,,1.31708e+18,,-34,RT And Christpher Wray,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Biden
