state,p_decisive_vote
PA,1.5433193511358718e-7
WI,1.482335256300123e-7
NH,1.2456685207882568e-7
MI,1.1766245314382766e-7
NV,1.0170196442223847e-7
MN,7.272203296715746e-8
AZ,6.605350250960563e-8
FL,5.750730037432847e-8
NC,4.513065067070306e-8
NM,3.4595753968965284e-8
GA,3.376378515348609e-8
ME,2.4926981477886237e-8
VA,2.134229752489782e-8
TX,2.1035831290309574e-8
IA,1.232003319315814e-8
AK,1.2231777175835285e-8
CO,1.1461348581169261e-8
OH,7.072735061207232e-9
IL,3.921620364614473e-9
RI,3.1148317894495473e-9
NJ,2.439003771227783e-9
OR,1.9677025585988214e-9
MS,1.7744587143271726e-9
CT,1.773008518457178e-9
SC,1.1874780754943762e-9
MT,1.170847879608458e-9
DE,1.1023513438227718e-9
LA,6.515811494096553e-10
MO,6.211508460115816e-10
KS,5.599626444964722e-10
WA,5.030115371759254e-10
NY,3.7481890043221455e-10
HI,2.9810374261877115e-10
SD,2.971355382467743e-10
AR,2.522112518453082e-10
NE,2.456801785661053e-10
MD,2.3318408195394427e-10
UT,2.306243155437503e-10
IN,2.0557385169338461e-10
TN,1.9545541352801792e-10
AL,1.5307973264059281e-10
CA,1.3806612980435702e-10
ND,1.1370155011606648e-10
MA,1.1087649962651867e-10
VT,1.0768773847179684e-10
KY,4.731119096428396e-11
OK,4.2674867965044574e-11
ID,3.6935263837893664e-11
WV,1.988136912237945e-11
WY,1.7246494914187974e-11
DC,9.53924905367309e-15
