dem_ev,sims
167,1
171,1
176,1
179,1
180,5
184,4
186,2
187,19
190,1
191,15
193,14
195,2
196,15
197,11
199,4
200,32
201,2
202,21
203,1
204,45
205,2
206,49
207,3
208,19
209,24
210,35
211,2
212,5
213,96
214,18
215,33
216,26
217,69
218,9
219,108
220,18
221,8
222,11
223,144
224,9
225,10
226,15
227,131
228,8
229,91
230,33
231,13
232,8
233,162
234,25
235,39
236,6
237,84
238,22
239,73
240,23
241,8
242,26
243,156
244,55
245,52
246,37
247,19
248,43
249,125
250,29
251,21
252,39
253,184
254,64
255,63
256,25
257,53
258,50
259,291
260,42
261,30
262,35
263,110
264,74
265,36
266,44
267,13
268,115
269,114
270,146
271,32
272,42
273,394
274,142
275,74
276,28
277,14
278,70
279,765
280,74
281,26
282,62
283,29
284,104
285,112
286,64
287,18
288,381
289,92
290,642
291,32
292,88
293,55
294,516
295,139
296,100
297,77
298,124
299,115
300,157
301,34
302,175
303,86
304,229
305,246
306,111
307,27
308,940
309,112
310,460
311,117
312,57
313,59
314,130
315,69
316,115
317,242
318,84
319,2130
320,17
321,227
322,44
323,1025
324,169
325,356
326,45
327,107
328,307
329,339
330,58
331,44
332,86
333,194
334,1493
335,383
336,19
337,186
338,21
339,917
340,746
341,179
342,37
343,301
344,75
345,352
346,106
347,226
348,121
349,54
350,1390
351,44
352,361
353,76
354,29
355,18
356,725
357,1085
358,1091
359,185
360,31
361,339
362,42
363,565
364,20
365,60
366,59
367,57
368,582
369,19
370,13
371,25
372,703
373,229
374,2169
375,89
376,11
377,453
378,416
379,28
380,56
381,165
382,15
383,258
384,121
385,14
386,57
387,68
388,1014
389,18
390,169
391,71
392,9
393,76
394,562
395,23
396,536
397,148
398,2
399,261
400,12
401,47
402,16
403,14
404,8
405,12
406,377
407,6
408,3
409,30
410,10
411,3
412,1614
413,1
414,2
415,575
416,4
417,2
418,55
420,10
421,159
422,70
423,6
424,60
425,91
426,1
427,39
428,26
429,8
430,13
431,48
432,1
433,1
434,53
435,6
436,2
437,31
438,2
439,6
440,19
442,3
443,9
444,1
445,10
446,2
448,5
449,5
451,3
454,2
457,3
459,1
460,2
468,1
474,1
