state,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,1,0.4413,0.5559,0.5538,0.25,0.5642,0.2485,0.1842,0.2571,0.3323,0.2563,0.2192,0.66,0.6663,0.2503,0.6288,0.7001,0.6435,0.3201,0.2423,0.2117,0.5111,0.5174,0.605,0.5978,0.3187,0.6544,0.4734,0.6751,0.5967,0.4965,0.2106,0.3727,0.3812,0.2108,0.5457,0.6545,0.6009,0.5093,0.3515,0.3961,0.6625,0.5428,0.4192,0.5827,0.3134,0.4185,0.554,0.5935,0.6089,0.653
AL,0.4413,1,0.7066,0.257,0.2401,0.2997,0.2071,0.1583,0.447,0.4162,0.692,0.2239,0.6039,0.5383,0.1783,0.6628,0.6375,0.7096,0.7314,0.1991,0.205,0.4979,0.6166,0.5245,0.6895,0.717,0.599,0.7901,0.5777,0.5045,0.4367,0.2058,0.2268,0.2302,0.1986,0.6339,0.6656,0.4429,0.5463,0.2119,0.8018,0.5785,0.7245,0.253,0.2803,0.5211,0.3506,0.2944,0.5553,0.6771,0.5914
AR,0.5559,0.7066,1,0.3059,0.2144,0.3888,0.1825,0.1486,0.3972,0.3921,0.563,0.2088,0.6423,0.5888,0.1979,0.6886,0.689,0.7308,0.6193,0.1809,0.1916,0.5078,0.6105,0.5719,0.6957,0.6029,0.6386,0.7313,0.632,0.5368,0.4583,0.2004,0.2196,0.2281,0.1951,0.6319,0.6941,0.5117,0.5555,0.2404,0.705,0.6389,0.725,0.2254,0.355,0.478,0.3677,0.3733,0.5851,0.6939,0.6374
AZ,0.5538,0.257,0.3059,1,0.5801,0.6136,0.4962,0.1608,0.3698,0.6223,0.2511,0.4457,0.4986,0.5027,0.5192,0.4706,0.4552,0.4232,0.2557,0.4812,0.2256,0.4641,0.5205,0.5206,0.441,0.2403,0.466,0.2927,0.4269,0.4812,0.4778,0.5394,0.5949,0.8014,0.5236,0.5187,0.4221,0.5799,0.5656,0.5708,0.2637,0.418,0.3294,0.5924,0.5522,0.3194,0.3704,0.6732,0.5515,0.4247,0.4135
CA,0.25,0.2401,0.2144,0.5801,1,0.3055,0.2888,0.2529,0.216,0.361,0.2494,0.6776,0.2377,0.2213,0.3166,0.2296,0.2431,0.2405,0.2358,0.3132,0.2168,0.2453,0.2588,0.2577,0.2406,0.2478,0.2373,0.2526,0.2252,0.2139,0.2489,0.5099,0.6376,0.6168,0.5274,0.2519,0.2349,0.2374,0.2681,0.3066,0.2485,0.2175,0.2254,0.6,0.2511,0.2299,0.2158,0.3332,0.2622,0.2335,0.2205
CO,0.5642,0.2997,0.3888,0.6136,0.3055,1,0.529,0.1651,0.3534,0.4273,0.2473,0.2165,0.6314,0.6111,0.5066,0.5796,0.6573,0.5485,0.2356,0.585,0.2333,0.5617,0.5933,0.734,0.5829,0.2334,0.6208,0.4026,0.5893,0.6109,0.6336,0.4449,0.268,0.429,0.4153,0.61,0.4925,0.7076,0.6498,0.5731,0.295,0.5506,0.4469,0.2882,0.651,0.5572,0.4922,0.7572,0.6597,0.5176,0.5386
CT,0.2485,0.2071,0.1825,0.4962,0.2888,0.529,1,0.109,0.5866,0.5794,0.2161,0.2439,0.4527,0.3393,0.5808,0.3289,0.3118,0.2954,0.2026,0.7204,0.4115,0.5986,0.544,0.5402,0.3644,0.2145,0.4562,0.2747,0.3281,0.386,0.6398,0.6287,0.2855,0.4476,0.5426,0.4923,0.1937,0.5118,0.6122,0.6711,0.2322,0.3217,0.2004,0.2233,0.3738,0.5531,0.6006,0.6107,0.5651,0.3351,0.2993
DC,0.1842,0.1583,0.1486,0.1608,0.2529,0.1651,0.109,1,0.134,0.1563,0.1704,0.1871,0.1685,0.1585,0.121,0.1604,0.1706,0.1682,0.1617,0.2077,0.4949,0.152,0.1609,0.1634,0.1629,0.1385,0.167,0.1681,0.1561,0.1509,0.1584,0.2717,0.1466,0.1552,0.3174,0.1541,0.1592,0.1518,0.1606,0.1015,0.1674,0.1496,0.1565,0.1688,0.1585,0.1547,0.1497,0.1476,0.1614,0.1642,0.1494
DE,0.2571,0.447,0.3972,0.3698,0.216,0.3534,0.5866,0.134,1,0.6394,0.4753,0.1914,0.5729,0.4277,0.5793,0.516,0.4161,0.4863,0.4939,0.5008,0.4617,0.6342,0.7154,0.5758,0.5476,0.382,0.5285,0.5548,0.426,0.4486,0.618,0.4331,0.2224,0.3898,0.4183,0.6589,0.2944,0.4996,0.71,0.5686,0.5413,0.4236,0.4283,0.233,0.3282,0.6723,0.5854,0.4824,0.6509,0.4996,0.3947
FL,0.3323,0.4162,0.3921,0.6223,0.361,0.4273,0.5794,0.1563,0.6394,1,0.3618,0.3163,0.5098,0.4407,0.5483,0.4996,0.4251,0.4869,0.3864,0.4643,0.3649,0.5989,0.6696,0.5291,0.5156,0.3115,0.5121,0.5023,0.3744,0.4375,0.5877,0.565,0.4206,0.639,0.5133,0.6271,0.3939,0.582,0.718,0.5819,0.4764,0.4014,0.4406,0.3335,0.2891,0.5432,0.4694,0.5551,0.6147,0.5211,0.4037
