,tweet_id,text,link,created_at,timestamp_ms,user_id,user_name,user_screen_name,user_location,geo,coordinates,place_full_name,place_country,retweeted_status_id,in_reply_to_status_id,sarcasm_value,processed_tweets,polarity_scores,compounded,neutral,positive,negative,candidate
0,1.31708e+18,"RT @Hoosiers1986: If Hunter Biden was a Trump, every news story would be these damn e-mails! This is Bullshit! 

Agree?!?!",https://twitter.com/HealingSelf2/status/1317079898838626305,16/10/2020 12:28,1602850000000.0,1.19384e+18,Healing Self✨🌟🌟🌟✨,HealingSelf2,,,,,,1.3169e+18,,-61,RT If Hunter Biden Trump every news story would damn emails This Bullshit Agree,"{'neg': 0.325, 'neu': 0.55, 'pos': 0.125, 'compound': -0.6124}",-0.6124,0.55,0.125,0.325,Trump
7,1.31708e+18,RT @ChuckCallesto: BREAKING REPORT: Feds investigating if alleged Hunter Biden emails CONNECTED TO FOREIGN INTELLIGENCE operation...,https://twitter.com/Chiphead_Nate/status/1317079900185088000,16/10/2020 12:28,1602850000000.0,9.71754e+17,Nathan Howard,Chiphead_Nate,,,,,,1.31695e+18,,-1,RT BREAKING REPORT Feds investigating alleged Hunter Biden emails CONNECTED TO FOREIGN INTELLIGENCE operation,"{'neg': 0.0, 'neu': 0.772, 'pos': 0.228, 'compound': 0.5904}",0.5904,0.772,0.228,0.0,Trump
8,1.31708e+18,RT @AKA_RealDirty: President Trump was on top of his game debating this insufferable Twatt @SavannahGuthrie. https://t.co/ll7nynBVjF,https://twitter.com/stahawg/status/1317079900176764929,16/10/2020 12:28,1602850000000.0,75855716.0,Stan Staton,stahawg,"Arkansas, USA",,,,,1.31708e+18,,-11,RT President Trump top game debating insufferable Twatt httpstcoll7nynB VjF,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.2023}",0.2023,0.833,0.167,0.0,Trump
10,1.31708e+18,RT @williamlegate: Trump's last 3 campaign managers have all been arrested.,https://twitter.com/IWLarmtUnited/status/1317079900243828736,16/10/2020 12:28,1602850000000.0,8.28606e+17,IWLarchmontUnited1,IWLarmtUnited,"Larchmont, NY",,,,,1.31692e+18,,-16,RT Trumps last 3 campaign managers arrested,"{'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.4767}",-0.4767,0.617,0.0,0.383,Trump
15,1.31708e+18,"Molly has decided her weekend project is to make yard signs that say ""Trump is Prince John"" and I'm okay with this. https://t.co/6Op6TZn6kb",https://twitter.com/emilyrmurtagh/status/1317079902705930242,16/10/2020 12:28,1602850000000.0,19620857.0,Emily Russo Murtagh,emilyrmurtagh,"Portland, ME",,,,,,,76,Molly decided weekend project make yard signs say Trump Prince John Im okay httpstco6 Op6T Zn6kb,"{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.2263}",0.2263,0.888,0.112,0.0,Trump
17,1.31708e+18,RT @TheEpicDept: President Trump's latest retweeted buddy https://t.co/rXj0uMrQte,https://twitter.com/euancx/status/1317079903590862850,16/10/2020 12:28,1602850000000.0,19588465.0,Euan CX,euancx,Glasgow,,,,,1.31693e+18,,-21,RT President Trumps latest retweeted buddy httpstcor Xj0u Mr Qte,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Trump
19,1.31708e+18,"RT @Hoosiers1986: If Hunter Biden was a Trump, every news story would be these damn e-mails! This is Bullshit! 

Agree?!?!",https://twitter.com/perryhallpaul/status/1317079903557292032,16/10/2020 12:28,1602850000000.0,8.13788e+17,perryhall paul,perryhallpaul,"Perry Hall, MD",,,,,1.3169e+18,,-61,RT If Hunter Biden Trump every news story would damn emails This Bullshit Agree,"{'neg': 0.325, 'neu': 0.55, 'pos': 0.125, 'compound': -0.6124}",-0.6124,0.55,0.125,0.325,Trump
20,1.31708e+18,Leading Scientists Urge Voters to Dump Trump https://t.co/dm34u2kJlx,https://twitter.com/JoePDR/status/1317079903905452039,16/10/2020 12:28,1602850000000.0,7.50436e+17,Joe,JoePDR,"Playa Del Rey, CA",,,,,,,-1,Leading Scientists Urge Voters Dump Trump httpstcodm34u2k Jlx,"{'neg': 0.271, 'neu': 0.729, 'pos': 0.0, 'compound': -0.3818}",-0.3818,0.729,0.0,0.271,Trump
22,1.31708e+18,RT @Usatorz1: Rt If you agree OANN should have done the town hall with President Trump.,https://twitter.com/AnnTheo5/status/1317079907197997057,16/10/2020 12:28,1602850000000.0,1.05115e+18,TelltheTruth,AnnTheo5,,,,,,1.31704e+18,,-57,RT Rt If agree OANN done town hall President Trump,"{'neg': 0.0, 'neu': 0.783, 'pos': 0.217, 'compound': 0.3612}",0.3612,0.783,0.217,0.0,Trump
33,1.31708e+18,"@JoyceWhiteVance There are none, trump knows or cares very little of truth.",https://twitter.com/230emain/status/1317079907634171904,16/10/2020 12:28,1602850000000.0,4534950261.0,James,230emain,"New York, USA",,,,,,1.31707e+18,-52,There none trump knows cares little truth,"{'neg': 0.261, 'neu': 0.527, 'pos': 0.212, 'compound': -0.1212}",-0.1212,0.527,0.212,0.261,Trump
35,1.31708e+18,"RT @GOPChairwoman: Daily Wire: Savannah Guthrie Blasted For Hostile Behavior Toward Trump During Town Hall

https://t.co/KXS72cUkOi",https://twitter.com/wwindteacher/status/1317079907772567552,16/10/2020 12:28,1602850000000.0,8.14816e+17,"Harold Joe New, III",wwindteacher,"El Paso, TX",,,,,1.31692e+18,,-25,RT Daily Wire Savannah Guthrie Blasted For Hostile Behavior Toward Trump During Town HallhttpstcoKXS72c Uk Oi,"{'neg': 0.148, 'neu': 0.852, 'pos': 0.0, 'compound': -0.3818}",-0.3818,0.852,0.0,0.148,Trump
36,1.31708e+18,RT @DFBHarvard: RETWEET If you believe Savannah Guthrie tried a hatchet job on President Trump last night! https://t.co/PqfZr0w5BM,https://twitter.com/BarryHart7/status/1317079907760021504,16/10/2020 12:28,1602850000000.0,860110616.0,Barry Hart,BarryHart7,Clearwater,,,,,1.31707e+18,,-5,RT RETWEET If believe Savannah Guthrie tried hatchet job President Trump last night httpstco Pqf Zr0w5BM,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Trump
40,1.31708e+18,@EnglishFars how  long #Trump will call @iaeaorg as trash?,https://twitter.com/HoermanTomas/status/1317079908280160266,16/10/2020 12:28,1602850000000.0,1.2152e+18,Tomas Hoerman,HoermanTomas,,,,,,,1.31708e+18,-10,long Trump call trash,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Trump
41,1.31708e+18,RT @UrbanAchievr: Crazy Uncle Trump thinks the Babylon Bee is real https://t.co/YBwLQDz18k,https://twitter.com/JulieBa73315767/status/1317079911333613569,16/10/2020 12:28,1602850000000.0,1.3111e+18,Julie Bartlett,JulieBa73315767,,,,,,1.31705e+18,,-15,RT Crazy Uncle Trump thinks Babylon Bee real httpstcoY BwLQ Dz18k,"{'neg': 0.194, 'neu': 0.806, 'pos': 0.0, 'compound': -0.34}",-0.34,0.806,0.0,0.194,Trump
43,1.31708e+18,@ProjectLincoln Guys have daughters. Trump and Pence don't realize that.,https://twitter.com/RobertPDean1/status/1317079911622877184,16/10/2020 12:28,1602850000000.0,1.08752e+18,Robert P. Dean,RobertPDean1,"Denver, CO",,,,,,1.31707e+18,-23,Guys daughters Trump Pence dont realize,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,Trump
44,1.31708e+18,@kylegriffin1 Laughing at ALL the California MAGA people for supporting Trump.,https://twitter.com/iseeidiotstoday/status/1317079911740272641,16/10/2020 12:28,1602850000000.0,9.58119e+17,Al,iseeidiotstoday,"Orange County , CA",,,,,,1.31707e+18,14,Laughing ALL California MAGA people supporting Trump,"{'neg': 0.0, 'neu': 0.45, 'pos': 0.55, 'compound': 0.7269}",0.7269,0.45,0.55,0.0,Trump
